RemoteID;Description;Branch;Number_of_motors;M1_up;M1_down;M2_up;M2_down;M3_up;M3_down;M4_up;M4_down;M5_up;M5_down;Reset_up;Reset_down;Memory 1;Memory 2;Memory 3;Memory 4;Memoposition_save;Synch;Socket;UBL;Child_lock;Flashlight;Massage_program1;Massage_program2;Massage_program3;Massage_out;Show_massage_statistics;Zero Gravity;TV;Quiet Sleep;Flat;Tilt;Widget
80027;RF-TOUCH/BK/BK/14/1923;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;n;n;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
80035;RF-TOUCH/BK/BK/19/1896;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;y;y;y;n;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
80036;RF-TOUCH/BK/BK/17/1965;bedding;3;n;n;y;y;y;y;y;y;n;n;y;y;y;y;y;n;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
80354;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80355;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80358;REMOTE CONTROL 2,4GHz ECO 1MOTORIG;bedding;1;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80360;SET REMOTE CONTROL 2,4GHz ECO 1MOTORIG;bedding;1;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80593;RF-TOUCH/BRW/BK/8/1952/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
80595;RF-TOUCH/BRW/BK/8/1954/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
80597;RF-TOUCH/BRW/BK/8/1953/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
80599;RFS-ELLIPSE/SW-SW-06-1844/-/-/-/02 GR/---/--/2 ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80601;RFS-ELLIPSE/SW-SW-09-1845/-/-/M/02 GR/UBB/--/2 ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;n;n;n;y;n;n;y;n;n;n;n;n;n;n;n;n;n;y;n;n
