package_id,title,developer,developer_id,play_url,relevance,reason,play_status,play_version,play_updated,apkpure_status,apkpure_version_name,apkpure_version_code,apkpure_release_date,apkpure_architectures,apkpure_url,latest_version_name,latest_version_code,cross_check,blocker
com.okin.meisemobell,마이저모벨,DewertOkin Technology,/store/apps/developer?id=DewertOkin+Technology,https://play.google.com/store/apps/details?id=com.okin.meisemobell,likely_bed_app,user-confirmed bed app,available,1.2.8,2025-07-03,available,1.2.8,30,2026-03-14,arm64-v8a,https://apkpure.com/%EB%A7%88%EC%9D%B4%EC%A0%80%EB%AA%A8%EB%B2%A8/com.okin.meisemobell,1.2.8,30,matched,
com.okin.simmonsBlue,SIMMONS iDEAL BED,DewertOkin Technology,/store/apps/developer?id=DewertOkin+Technology,https://play.google.com/store/apps/details?id=com.okin.simmonsBlue,likely_bed_app,package or title contains a bed-control indicator,available,1.0.0,2025-10-10,not_found,,,,,,1.0.0,,google_play_only,
com.okin.yamada,アシステック,DewertOkin Technology,/store/apps/developer?id=DewertOkin+Technology,https://play.google.com/store/apps/details?id=com.okin.yamada,likely_bed_app,user-confirmed bed app,available,1.0.1,2025-11-26,not_found,,,,,,1.0.1,,google_play_only,
com.pairlink.kaidi.ComfyDS,ComfyD-S,Kaidi LLC,/store/apps/developer?id=Kaidi+LLC,https://play.google.com/store/apps/details?id=com.pairlink.kaidi.ComfyDS,likely_bed_app,package or title contains a bed-control indicator,available,1.0.0,2024-12-18,available,1.0.0,1,2024-12-18,universal,https://apkpure.com/comfyd-s/com.pairlink.kaidi.ComfyDS,1.0.0,1,matched,
com.pairlink.kaidi.komfyD,KomfyD,Kaidi LLC,/store/apps/developer?id=Kaidi+LLC,https://play.google.com/store/apps/details?id=com.pairlink.kaidi.komfyD,likely_bed_app,package or title contains a bed-control indicator,available,1.0.9,2023-08-23,available,1.0.9,8,2025-11-08,universal,https://apkpure.com/komfyd/com.pairlink.kaidi.komfyD,1.0.9,8,matched,
com.pairlink.kaidi.sofa,KomfyD H1,Kaidi LLC,/store/apps/developer?id=Kaidi+LLC,https://play.google.com/store/apps/details?id=com.pairlink.kaidi.sofa,not_bed_app,sofa controller,available,1.0.8,2023-08-23,available,1.0.8,13,2024-09-29,universal,https://apkpure.com/komfyd-h1/com.pairlink.kaidi.sofa,1.0.8,13,matched,
com.saatva,Saatva,Bed Tech,/store/apps/developer?id=Bed+Tech,https://play.google.com/store/apps/details?id=com.saatva,likely_bed_app,package or title contains a bed-control indicator,available,1.0.1,2025-07-10,removed,,,,,,1.0.1,,google_play_only,
com.sbi.ada,Ananda Base WiFi,South Bay International,/store/apps/developer?id=South+Bay+International,https://play.google.com/store/apps/details?id=com.sbi.ada,not_bed_app,user-confirmed Wi-Fi-only exclusion,available,1.3.0,2026-03-17,available,1.3.0,21,2026-04-30,universal,https://apkpure.com/ananda-base-wifi/com.sbi.ada,1.3.0,21,matched,
com.sbi.allswell,Allswell Adj Base By South Bay,South Bay International,/store/apps/developer?id=South+Bay+International,https://play.google.com/store/apps/details?id=com.sbi.allswell,not_bed_app,user-confirmed Wi-Fi-only exclusion,available,1.1.0,2026-03-07,available,1.1.0,12,2026-05-20,universal,https://apkpure.com/allswell-adj-base-by-south-bay/com.sbi.allswell,1.1.0,12,matched,
com.sbi.markbase,Member's Mark Base WiFi,South Bay International,/store/apps/developer?id=South+Bay+International,https://play.google.com/store/apps/details?id=com.sbi.markbase,not_bed_app,user-confirmed Wi-Fi-only exclusion,available,1.1.2,2026-03-07,available,1.1.2,15,2026-03-20,universal,https://apkpure.com/member-s-mark-base-wifi/com.sbi.markbase,1.1.2,15,matched,
