package_id,application_names,local_version_name,local_version_code,local_architectures,play_status,play_version,play_updated,play_developer,play_url,play_availability,apkpure_status,apkpure_version_name,apkpure_version_code,apkpure_release_date,apkpure_architectures,apkpure_url,latest_version_name,latest_version_code,latest_release_date,latest_architectures,latest_source,cross_check,classification,blocker,lookup_date
com.hettich.hettich,AxisDrive Bed Control,3.3.6,8,arm64-v8a; armeabi-v7a; x86; x86_64,not_found,,,,,"{""au"": ""not_found"", ""ca"": ""not_found"", ""de"": ""not_found"", ""gb"": ""not_found"", ""jp"": ""not_found"", ""no"": ""not_found"", ""us"": ""not_found""}",available,3.3.6,8,2021-03-01,arm64-v8a; armeabi-v7a; x86; x86_64,https://apkpure.com/axis-drive-bed-control/com.hettich.hettich,3.3.6,8,2021-03-01,arm64-v8a; armeabi-v7a; x86; x86_64,APKPure,apkpure_only,current,,2026-07-14
com.intretech.app.suta,SUTA,1.0.3,3,armeabi,not_found,,,,,"{""au"": ""not_found"", ""ca"": ""not_found"", ""de"": ""not_found"", ""gb"": ""not_found"", ""jp"": ""not_found"", ""no"": ""not_found"", ""us"": ""not_found""}",available,1.0.3,3,2020-01-25,armeabi,https://apkpure.com/suta/com.intretech.app.suta,1.0.3,3,2020-01-25,armeabi,APKPure,apkpure_only,current,,2026-07-14
com.jiecang.app.android.jiecangbed,Comfort Motion,2.1.6,23,arm64-v8a,available,2.1.8,2026-04-13,"Zhejiang Jiecang Linear Motion Technology Co.,Ltd",https://play.google.com/store/apps/details?id=com.jiecang.app.android.jiecangbed&hl=en&gl=us,{},available,2.1.8,25,2026-06-19,arm64-v8a,https://apkpure.com/comfort-motion/com.jiecang.app.android.jiecangbed,2.1.8,25,2026-06-19,arm64-v8a,APKPure,matched,outdated,,2026-07-14
com.kaidi_test4,Isleep,1.6.3,45,arm64-v8a,available,1.6.3,2025-12-23,Kaidi LLC,https://play.google.com/store/apps/details?id=com.kaidi_test4&hl=en&gl=us,{},available,1.6.3,45,2025-12-30,arm64-v8a; armeabi-v7a,https://apkpure.com/isleep/com.kaidi_test4,1.6.3,45,2025-12-30,arm64-v8a; armeabi-v7a,APKPure,matched,current,,2026-07-14
com.kaidi_test4.floyd,Floyd Home,1.0.7,7,arm64-v8a,available,1.0.7,2025-08-12,Rize Home,https://play.google.com/store/apps/details?id=com.kaidi_test4.floyd&hl=en&gl=us,{},removed,,,,,,1.0.7,,2025-08-12,,Google Play,google_play_only,current,APKPure has no current listing,2026-07-14
com.kaidi_test4.rize,Rize Beds,1.3.0,48,arm64-v8a; armeabi-v7a; x86; x86_64,available,1.4.2,2025-11-25,Rize Home,https://play.google.com/store/apps/details?id=com.kaidi_test4.rize&hl=en&gl=us,{},available,1.4.2,57,2026-05-01,arm64-v8a; armeabi-v7a,https://apkpure.com/rize-beds/com.kaidi_test4.rize,1.4.2,57,2026-05-01,arm64-v8a; armeabi-v7a,APKPure,matched,outdated,,2026-07-14
com.keeson.adjustablelite,Adjustable Lite,1.0.1,4,arm64-v8a,available,1.0.2,2026-03-16,South Bay International,https://play.google.com/store/apps/details?id=com.keeson.adjustablelite&hl=en&gl=us,{},available,1.0.1,4,2025-09-09,arm64-v8a,https://apkpure.com/adjustable-lite/com.keeson.adjustablelite,1.0.2,,2026-03-16,,Google Play (APKPure mismatch),version_mismatch,unverifiable,Google Play reports 1.0.2; APKPure reports 1.0.1,2026-07-14
com.keeson.agingplace,Dawn House,1.0.9,82,arm64-v8a; armeabi; armeabi-v7a; x86; x86_64,available,1.1.0,2026-03-09,Ergomotion,https://play.google.com/store/apps/details?id=com.keeson.agingplace&hl=en&gl=us,{},available,1.0.9,82,2025-10-18,arm64-v8a; armeabi; armeabi-v7a; x86; x86_64,https://apkpure.com/dawn-house/com.keeson.agingplace,1.1.0,,2026-03-09,,Google Play (APKPure mismatch),version_mismatch,unverifiable,Google Play reports 1.1.0; APKPure reports 1.0.9,2026-07-14
com.keeson.beautyrestblack,Beautyrest BLACK,1.2.1,18,arm64-v8a; armeabi-v7a; x86; x86_64,available,1.2.1,2025-03-01,Ergomotion,https://play.google.com/store/apps/details?id=com.keeson.beautyrestblack&hl=en&gl=us,{},available,1.2.1,18,2025-03-22,arm64-v8a; armeabi-v7a; x86; x86_64,https://apkpure.com/beautyrest-black/com.keeson.beautyrestblack,1.2.1,18,2025-03-22,arm64-v8a; armeabi-v7a; x86; x86_64,APKPure,matched,current,,2026-07-14
com.keeson.connectedbed,Linx,1.0.7,27,arm64-v8a; armeabi; armeabi-v7a; x86; x86_64,available,1.0.7,2023-05-16,Ergomotion,https://play.google.com/store/apps/details?id=com.keeson.connectedbed&hl=en&gl=us,{},available,1.0.7,27,2024-01-03,arm64-v8a; armeabi; armeabi-v7a; x86; x86_64,https://apkpure.com/connected-bed/com.keeson.connectedbed,1.0.7,27,2024-01-03,arm64-v8a; armeabi; armeabi-v7a; x86; x86_64,APKPure,matched,current,,2026-07-14
