package_id,application_names,archive_count,distinct_file_count,local_version_count,versions,latest_local_version_name,latest_local_version_code,archive_types,architectures,source_paths
com.logicdata.app.android.bed,LOGICDATA MOTIONrelax,1,1,1,1.0.3 (4),1.0.3,4,apk,arm64-v8a,disassembly/apk/analyzed/LOGICDATA MOTIONrelax_1.0.3_com.logicdata.motionrelax.apk
com.lucid.bedbase,Lucid Base,1,1,1,1.3.3 (16),1.3.3,16,xapk,arm64-v8a,disassembly/apk/analyzed/Lucid Base_1.3.3_com.lucid.bedbase.xapk
com.malouf.bedbase,Malouf Base,1,1,1,2.4.3 (54),2.4.3,54,xapk,arm64-v8a,disassembly/apk/analyzed/Malouf Base_2.4.3_com.malouf.bedbase.xapk
com.motion.rmtrelax,Relax Motion,1,1,1,1.5.0 (521),1.5.0,521,xapk,arm64-v8a,disassembly/apk/analyzed/Relax Motion_1.5.0_com.motion.rmtrelax.xapk
com.okin.MattressPoint,MattressPoint,1,1,1,1.0.1 (3),1.0.1,3,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.MattressPoint.xapk
com.okin.apex,Comfort Enhancement 3,1,1,1,1.4.0 (5),1.4.0,5,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.apex.xapk
com.okin.bedding.adjustablelumbar,Adjustable bed(Lumbar),1,1,1,1.1 (29),1.1,29,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.bedding.adjustablelumbar.xapk
com.okin.bedding.adjustbed,Adjustable bed,2,1,1,1.1 (27),1.1,27,xapk,arm64-v8a,disassembly/apk/analyzed/Adjustable bed_1.1_com.okin.bedding.adjustbed.xapk; disassembly/apk/analyzed/dewertokin/com.okin.bedding.adjustbed.xapk
com.okin.bedding.alya,Alya Smart Furnishing,1,1,1,1.0.2 (3),1.0.2,3,xapk,armeabi-v7a,disassembly/apk/analyzed/dewertokin/com.okin.bedding.alya.xapk
com.okin.bedding.berun,BERUN,1,1,1,1.1.1 (7),1.1.1,7,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.bedding.berun.xapk
com.okin.bedding.customaticclarity,Rize Clarity,1,1,1,1.0.1 (2),1.0.1,2,xapk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.customaticclarity.xapk
com.okin.bedding.customaticdemo,Independence,1,1,1,1.1.0 (5),1.1.0,5,xapk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.customaticdemo.xapk
com.okin.bedding.customaticjeromes,Jerome's C,1,1,1,1.0.1 (2),1.0.1,2,apk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.customaticjeromes.apk
com.okin.bedding.customaticremedy,Rize Remedy,1,1,1,1.0.1 (2),1.0.1,2,xapk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.customaticremedy.xapk
com.okin.bedding.glory,Customatic Technologies Z-Series,1,1,1,1.0.4 (5),1.0.4,5,xapk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.glory.xapk
com.okin.bedding.jobs,JobsAI智能助眠床,1,1,1,1.0.6 (7),1.0.6,7,apk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.jobs.apk
com.okin.bedding.luxe,Adjustable Comfort - Luxe,1,1,1,1.0.0 (2),1.0.0,2,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.bedding.luxe.xapk
com.okin.bedding.nectarmotion,Nectar Move,1,1,1,1.0.1 (2),1.0.1,2,apk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.nectarmotion.apk
com.okin.bedding.nerum,Nerum,1,1,1,1.0.3 (4),1.0.3,4,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.bedding.nerum.xapk
com.okin.bedding.rizeResident,Resident Adjustable Bed,2,1,1,1.0.1 (2),1.0.1,2,apk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizeResident.apk; disassembly/apk/analyzed/Resident Adjustable Bed_1.0.1_com.okin.bedding.rizeResident.apk
com.okin.bedding.rizeSanctuary,Jordan's Sanctuary - O,1,1,1,1.0.1 (2),1.0.1,2,apk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizeSanctuary.apk
com.okin.bedding.rizeaviada,Rize Aviada - O,1,1,1,1.0.1 (2),1.0.1,2,xapk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizeaviada.xapk
com.okin.bedding.rizebob,POWER BOB ULTRA-O,1,1,1,1.0.1 (2),1.0.1,2,apk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizebob.apk
com.okin.bedding.rizecontempo,Rize Contemporary III - O,1,1,1,1.0.2 (3),1.0.2,3,apk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizecontempo.apk
com.okin.bedding.rizeii,Rize Remedy II,1,1,1,1.0.1 (2),1.0.1,2,apk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizeii.apk
com.okin.bedding.rizeiicarefree,Carefree,1,1,1,1.0.1 (2),1.0.1,2,apk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizeiicarefree.apk
com.okin.bedding.rizeiiclarity,Rize Clarity II - O,1,1,1,1.0.1 (2),1.0.1,2,apk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizeiiclarity.apk
com.okin.bedding.rizemf900,MFirm 900 - O,2,1,1,1.1.2 (4),1.1.2,4,xapk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizemf900.xapk; disassembly/apk/analyzed/Mattress Firm 900 - O_1.1.2_com.okin.bedding.rizemf900.xapk
com.okin.bedding.sleepy,Sleepy's Elite,2,1,1,1.1.4 (13),1.1.4,13,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.bedding.sleepy.xapk; disassembly/apk/analyzed/MFRM Sleepy's Elite_1.1.4_com.okin.bedding.sleepy.xapk
com.okin.bedding.smartbedwifi,SmartBed,2,1,1,2.2.0 (22),2.2.0,22,xapk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.smartbedwifi.xapk; disassembly/apk/analyzed/OKIN Smart Bed_2.2.0_com.okin.bedding.smartbedwifi.xapk
com.okin.bedding.support,Support 挺你 科技調整床,1,1,1,1.0.4 (5),1.0.4,5,apk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.support.apk
com.okin.bedding.tranquil,Jordan's Tranquil,1,1,1,1.0.2 (3),1.0.2,3,apk,,disassembly/apk/analyzed/dewertokin/com.okin.bedding.tranquil.apk
com.okin.bedding.ultra,Ultra,1,1,1,1.0.0 (1),1.0.0,1,apk,arm64-v8a; armeabi-v7a; x86_64,disassembly/apk/analyzed/dewertokin/com.okin.bedding.ultra.apk
com.okin.doublesleep,OKIN SleepEase,1,1,1,1.1.0 (56),1.1.0,56,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.doublesleep.xapk
com.okin.enhancements,Comfort Enhancements,1,1,1,1.0.3 (4),1.0.3,4,apk,arm64-v8a; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/dewertokin/com.okin.enhancements.apk
com.okin.healeverynight,Heal Every Night,1,1,1,1.0 (1),1.0,1,apk,armeabi; armeabi-v7a; mips; x86,disassembly/apk/analyzed/dewertokin/com.okin.healeverynight.apk
com.okin.ist,Symphony Sleep Sense,1,1,1,2.5.1 (162),2.5.1,162,xapk,armeabi-v7a,disassembly/apk/analyzed/dewertokin/com.okin.ist.xapk
com.okin.jalon.okimatandroid,OkimattMotion,1,1,1,1.1.1 (3),1.1.1,3,xapk,,disassembly/apk/analyzed/dewertokin/com.okin.jalon.okimatandroid.xapk
com.okin.mattresstool,BW配网助手,1,1,1,1.0.0 (1),1.0.0,1,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.mattresstool.xapk
com.okin.minamotobed.release,minamotobed,1,1,1,1.1.3 (39),1.1.3,39,xapk,armeabi-v7a,disassembly/apk/analyzed/dewertokin/com.okin.minamotobed.release.xapk
com.okin.minghua.R,OKIN-Seating,1,1,1,1.0.1 (2),1.0.1,2,apk,armeabi; armeabi-v7a; mips; x86,disassembly/apk/analyzed/dewertokin/com.okin.minghua.R.apk
com.okin.mline,M line,1,1,1,1.2.2 (38),1.2.2,38,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.mline.xapk
com.okin.motionbed,OKIN Motion Bed,1,1,1,1.0 (2),1.0,2,apk,,disassembly/apk/analyzed/dewertokin/com.okin.motionbed.apk
com.okin.office.smartoffice_ble,SmartOffice-Bluetooth,1,1,1,1.0.4 (6),1.0.4,6,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.office.smartoffice_ble.xapk
com.okin.okinsmartcomfort,FurniMove,1,1,1,2.1.0 (18),2.1.0,18,xapk,,disassembly/apk/analyzed/dewertokin/com.okin.okinsmartcomfort.xapk
com.okin.ore.cherish,Cherish,1,1,1,1.0.4 (5),1.0.4,5,apk,,disassembly/apk/analyzed/dewertokin/com.okin.ore.cherish.apk
com.okin.resident.release,resident,2,1,1,1.0.0 (1),1.0.0,1,apk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.resident.release.apk; disassembly/apk/analyzed/Resident Adjustable Base_1.0.0_com.okin.resident.release.apk
com.okin.rize,Rize Home,1,1,1,1.1.1 (11),1.1.1,11,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.rize.xapk
com.okin.sealy,Sealy Posturematic,1,1,1,1.1.1 (126),1.1.1,126,xapk,arm64-v8a; armeabi-v7a,disassembly/apk/analyzed/com.okin.sealy_1.1.1.xapk
com.okin.seating.smartcomfort,Smart Comfort Pro,1,1,1,1.0.5 (7),1.0.5,7,apk,,disassembly/apk/analyzed/dewertokin/com.okin.seating.smartcomfort.apk
com.okin.seating.ss,SmartSofa,1,1,1,1.1.3 (5),1.1.3,5,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.seating.ss.xapk
com.okin.simmons,SIMMONS,1,1,1,1.12.9 (99),1.12.9,99,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.simmons.xapk
com.okin.simmonskorea,N32 Motion Bed,1,1,1,1.1.12 (35),1.1.12,35,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.simmonskorea.xapk
com.okin.simon,Simon,1,1,1,1.0.1 (2),1.0.1,2,apk,armeabi; armeabi-v7a; mips; x86,disassembly/apk/analyzed/dewertokin/com.okin.simon.apk
com.okin.sleepMonitor.onlySnore,OKIN Snore Monitor,1,1,1,2.3.8 (202),2.3.8,202,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.sleepMonitor.onlySnore.xapk
com.okin.sleeptime,Sleeptime,1,1,1,1.0.0 (1),1.0.0,1,apk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.sleeptime.apk
com.okin.topsky,TOPSKY TV MOUNT,1,1,1,1.1.5 (32),1.1.5,32,xapk,armeabi-v7a,disassembly/apk/analyzed/dewertokin/com.okin.topsky.xapk
com.okin.ultramaticSmartBed,Ultramatic Smart Bed,1,1,1,1.1.1 (4),1.1.1,4,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.okin.ultramaticSmartBed.xapk
com.ore.AvantiBases,AvantiBases,1,1,1,1.0.5 (7),1.0.5,7,apk,,disassembly/apk/analyzed/dewertokin/com.ore.AvantiBases.apk
com.ore.Dynasty,Dynasty Bases,1,1,1,1.0.2 (3),1.0.2,3,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.ore.Dynasty.xapk
com.ore.LevaSleep,LEVA,1,1,1,1.0.2 (3),1.0.2,3,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.ore.LevaSleep.xapk
com.ore.americanstar,AMERICANSTAR,1,1,1,1.0 (1),1.0,1,apk,armeabi; armeabi-v7a; mips; x86,disassembly/apk/analyzed/dewertokin/com.ore.americanstar.apk
com.ore.bedding.glideawaymontion,Glideaway Montion For Bluetooth,1,1,1,1.0.3 (11),1.0.3,11,xapk,,disassembly/apk/analyzed/dewertokin/com.ore.bedding.glideawaymontion.xapk
com.ore.bedding.movita2,모비타 AI-1000,1,1,1,1.0.6 (6),1.0.6,6,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.ore.bedding.movita2.xapk
com.ore.bedding.symphony,Symphony Sleep,1,1,1,1.1.0 (14),1.1.0,14,xapk,,disassembly/apk/analyzed/dewertokin/com.ore.bedding.symphony.xapk
com.ore.betterliving2,BetterLiving,2,1,1,1.2.5 (12),1.2.5,12,xapk,,disassembly/apk/analyzed/BetterLiving-1_1.2.5_APKPure.xapk; disassembly/apk/analyzed/dewertokin/com.ore.betterliving2.xapk
com.ore.comfortfurniture,ComfortFurniture,1,1,1,2.3 (10),2.3,10,apk,arm64-v8a; armeabi; armeabi-v7a; mips; x86; x86_64,disassembly/apk/analyzed/dewertokin/com.ore.comfortfurniture.apk
com.ore.jalon.comfortwifiandroid,ComfortBaseForWifi,1,1,1,3.7 (10),3.7,10,apk,arm64-v8a; armeabi; armeabi-v7a; mips; mips64; x86; x86_64,disassembly/apk/analyzed/dewertokin/com.ore.jalon.comfortwifiandroid.apk
com.ore.jalon.neworebeding,OkinComfortBed Ⅱ,2,1,1,2.0.2 (9),2.0.2,9,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.ore.jalon.neworebeding.xapk; disassembly/apk/analyzed/OKIN ComfortBed II-N_2.0.2_com.ore.jalon.neworebeding.xapk
com.ore.jalon.neworebeding_android,OkinComfortBed Ⅱ,1,1,1,1.4 (4),1.4,4,apk,,disassembly/apk/analyzed/dewertokin/com.ore.jalon.neworebeding_android.apk
