source_path,archive_type,file_size_bytes,sha256,status,error,warnings,application_name,package_id,version_name,version_code,min_sdk_version,target_sdk_version,split_count,splits,architectures,identical_file_count,package_version_record_count,package_version_distinct_file_count,package_has_multiple_versions
disassembly/apk/analyzed/dewertokin/com.okin.bedding.customaticjeromes.apk,apk,2727633,056431dcd500bbf02f3279d052e66f8f59ca5cd30bd51d1aab18c23a1782f268,ok,,,Jerome's C,com.okin.bedding.customaticjeromes,1.0.1,2,21,33,0,,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.customaticremedy.xapk,xapk,2818614,382e76adcf0750d937b9f84669db0100111ba95ad92122b45a8547be6d609c57,ok,,,Rize Remedy,com.okin.bedding.customaticremedy,1.0.1,2,21,33,19,base=com.okin.bedding.customaticremedy.apk; config.th=config.th.apk; config.hi=config.hi.apk; config.in=config.in.apk; config.ko=config.ko.apk; config.fr=config.fr.apk; config.my=config.my.apk; config.en=config.en.apk; config.vi=config.vi.apk; config.ja=config.ja.apk; config.de=config.de.apk; config.ar=config.ar.apk; config.es=config.es.apk; config.ru=config.ru.apk; config.xhdpi=config.xhdpi.apk; config.tr=config.tr.apk; config.it=config.it.apk; config.pt=config.pt.apk; config.zh=config.zh.apk,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.glory.xapk,xapk,6128598,3a700cc4869080ec570c2e8653601b2755c08c7d3e3b13fa6a233e2af2bce7a8,ok,,,Customatic Technologies Z-Series,com.okin.bedding.glory,1.0.4,5,21,33,4,base=com.okin.bedding.glory.apk; config.mdpi=config.mdpi.apk; config.fr=config.fr.apk; config.en=config.en.apk,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.jobs.apk,apk,3848769,cc1f29f4556fb514ced607b82c90bc80de0410d50848d2f8f926eb2fbbfa845d,ok,,,JobsAI智能助眠床,com.okin.bedding.jobs,1.0.6,7,21,33,0,,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.luxe.xapk,xapk,53804241,75fe35376955c3f98de96921ba108ff5ca5deae4e88937e490dfea36fb999040,ok,,,Adjustable Comfort - Luxe,com.okin.bedding.luxe,1.0.0,2,23,34,20,base=com.okin.bedding.luxe.apk; config.xhdpi=config.xhdpi.apk; config.fr=config.fr.apk; config.es=config.es.apk; config.ja=config.ja.apk; config.th=config.th.apk; config.vi=config.vi.apk; config.ko=config.ko.apk; config.en=config.en.apk; config.zh=config.zh.apk; config.hi=config.hi.apk; config.it=config.it.apk; config.pt=config.pt.apk; config.arm64_v8a=config.arm64_v8a.apk; config.de=config.de.apk; config.in=config.in.apk; config.ar=config.ar.apk; config.tr=config.tr.apk; config.ru=config.ru.apk; config.my=config.my.apk,arm64-v8a,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.nectarmotion.apk,apk,3388719,b8d58bc031a6ef532efed7959fd7464550e957b440b06473fbb2e17d748c9968,ok,,,Nectar Move,com.okin.bedding.nectarmotion,1.0.1,2,21,33,0,,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.nerum.xapk,xapk,9158100,1652fcd9783d984235ae47eb6552b1411786fe9787b222e0e4075c6dc6d1ed16,ok,,,Nerum,com.okin.bedding.nerum,1.0.3,4,21,30,20,base=com.okin.bedding.nerum.apk; config.ja=config.ja.apk; config.ko=config.ko.apk; config.fr=config.fr.apk; config.pt=config.pt.apk; config.ru=config.ru.apk; config.zh=config.zh.apk; config.arm64_v8a=config.arm64_v8a.apk; config.xxxhdpi=config.xxxhdpi.apk; config.de=config.de.apk; config.hi=config.hi.apk; config.in=config.in.apk; config.ar=config.ar.apk; config.it=config.it.apk; config.my=config.my.apk; config.vi=config.vi.apk; config.tr=config.tr.apk; config.en=config.en.apk; config.th=config.th.apk; config.es=config.es.apk,arm64-v8a,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizeaviada.xapk,xapk,2112610,fc1cbef8715de115455a4931264941bf44ad10adc819811496a82221e85b6241,ok,,,Rize Aviada - O,com.okin.bedding.rizeaviada,1.0.1,2,21,33,19,base=com.okin.bedding.rizeaviada.apk; config.en=config.en.apk; config.de=config.de.apk; config.ar=config.ar.apk; config.tr=config.tr.apk; config.pt=config.pt.apk; config.ru=config.ru.apk; config.my=config.my.apk; config.ja=config.ja.apk; config.th=config.th.apk; config.hi=config.hi.apk; config.fr=config.fr.apk; config.es=config.es.apk; config.zh=config.zh.apk; config.xxxhdpi=config.xxxhdpi.apk; config.vi=config.vi.apk; config.in=config.in.apk; config.ko=config.ko.apk; config.it=config.it.apk,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizebob.apk,apk,2317302,237ffd39af4e8179a1c83f07cfd53364d66d127f3ccdd7ea1394ea3c6bfca437,ok,,,POWER BOB ULTRA-O,com.okin.bedding.rizebob,1.0.1,2,21,33,0,,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizecontempo.apk,apk,2034738,9c8ef59a2addb92c9b81c330d629d495c606e6b0d06f67e31c19e7cd8e112ea9,ok,,,Rize Contemporary III - O,com.okin.bedding.rizecontempo,1.0.2,3,21,33,0,,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizeii.apk,apk,1964564,b539d643486912e434f057c3866be9d87b39e1552b057cf753024bccd26bfbd0,ok,,,Rize Remedy II,com.okin.bedding.rizeii,1.0.1,2,21,33,0,,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizeiicarefree.apk,apk,2026170,204617a5b4b60247478125dd6cfdfaadf769581fe77b874b3f9fc47ff271234f,ok,,,Carefree,com.okin.bedding.rizeiicarefree,1.0.1,2,21,33,0,,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizeiiclarity.apk,apk,1972837,998bcd5962de74c85d3ebf36778007f6cbe11b4c1992477a454fca1a3ab80c1a,ok,,,Rize Clarity II - O,com.okin.bedding.rizeiiclarity,1.0.1,2,21,33,0,,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizemf900.xapk,xapk,2029042,a4f5ae67b2b9b870e6413d08597364041ac6947c7ba5445eb1979498895ff46f,ok,,,MFirm 900 - O,com.okin.bedding.rizemf900,1.1.2,4,21,33,19,base=com.okin.bedding.rizemf900.apk; config.ar=config.ar.apk; config.it=config.it.apk; config.my=config.my.apk; config.vi=config.vi.apk; config.in=config.in.apk; config.ko=config.ko.apk; config.zh=config.zh.apk; config.pt=config.pt.apk; config.en=config.en.apk; config.de=config.de.apk; config.th=config.th.apk; config.hi=config.hi.apk; config.tr=config.tr.apk; config.es=config.es.apk; config.xxhdpi=config.xxhdpi.apk; config.ja=config.ja.apk; config.fr=config.fr.apk; config.ru=config.ru.apk,,2,2,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizeResident.apk,apk,2098503,26a33ef79aa50f0b899d934c01aad8641b97da58bd9b78134122ac56d33eeaa9,ok,,,Resident Adjustable Bed,com.okin.bedding.rizeResident,1.0.1,2,21,33,0,,,2,2,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.rizeSanctuary.apk,apk,2042788,90b494007dd120b4da9498c8d259411bb2a8f2e643a22433792486d896f535d0,ok,,,Jordan's Sanctuary - O,com.okin.bedding.rizeSanctuary,1.0.1,2,21,33,0,,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.sleepy.xapk,xapk,55778179,3f0c9d6bccbde12dd86293c8834e8925cfae6b8360b0e3bc8671577527baea53,ok,,,Sleepy's Elite,com.okin.bedding.sleepy,1.1.4,13,23,34,5,base=com.okin.bedding.sleepy.apk; config.mdpi=config.mdpi.apk; config.fr=config.fr.apk; config.en=config.en.apk; config.arm64_v8a=config.arm64_v8a.apk,arm64-v8a,2,2,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.smartbedwifi.xapk,xapk,14132713,9258b9011be191008d0fd4c5d667e82bf214db4d118918dbbb0c51f185f7ff07,ok,,,SmartBed,com.okin.bedding.smartbedwifi,2.2.0,22,21,35,4,base=com.okin.bedding.smartbedwifi.apk; config.mdpi=config.mdpi.apk; config.en=config.en.apk; config.zh=config.zh.apk,,2,2,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.support.apk,apk,2042070,c2e01cdc9727f3608bcbd58076fecfa9c84176b343750079284b246e6aba2e00,ok,,,Support 挺你 科技調整床,com.okin.bedding.support,1.0.4,5,21,33,0,,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.tranquil.apk,apk,7294049,595749e9f8eb2b654d88ad477fa80e4dfe5849335889b8c241fbd22faf3f5bda,ok,,,Jordan's Tranquil,com.okin.bedding.tranquil,1.0.2,3,21,33,0,,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.ultra.apk,apk,86548512,a81c46a43b27c235344b65cd9a032cd9cb0d74ad9a76979f70fddc52e702e7d9,ok,,,Ultra,com.okin.bedding.ultra,1.0.0,1,23,33,0,,arm64-v8a; armeabi-v7a; x86_64,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.doublesleep.xapk,xapk,48688064,27c4bf188b530d75a46521d99616538920a91bc12bc9105b2f0270c1a13f99bc,ok,,,OKIN SleepEase,com.okin.doublesleep,1.1.0,56,21,34,5,base=com.okin.doublesleep.apk; config.mdpi=config.mdpi.apk; config.fr=config.fr.apk; config.en=config.en.apk; config.arm64_v8a=config.arm64_v8a.apk,arm64-v8a,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.enhancements.apk,apk,11644065,bc76b08e593f42a3772385551553cb93345394639cfeb4d8e2cc61a99c28eab7,ok,,,Comfort Enhancements,com.okin.enhancements,1.0.3,4,21,33,0,,arm64-v8a; armeabi-v7a; x86; x86_64,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.healeverynight.apk,apk,5683762,de843726c35de8c2410de963576082c0199476a4a5869473e112717f22c51a60,ok,,,Heal Every Night,com.okin.healeverynight,1.0,1,18,22,0,,armeabi; armeabi-v7a; mips; x86,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.ist.xapk,xapk,170955738,5fb219bb250b15134363f450244061c35566ce4146fe9317ea6d3efbdda9f490,ok,,,Symphony Sleep Sense,com.okin.ist,2.5.1,162,21,35,5,base=com.okin.ist.apk; config.mdpi=config.mdpi.apk; config.es=config.es.apk; config.en=config.en.apk; config.armeabi_v7a=config.armeabi_v7a.apk,armeabi-v7a,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.jalon.okimatandroid.xapk,xapk,8028688,da76ca66808fb37655ef24ba78685e6a8bc5aef16b052857117bcdcad6c768dd,ok,,,OkimattMotion,com.okin.jalon.okimatandroid,1.1.1,3,21,34,19,base=com.okin.jalon.okimatandroid.apk; config.ru=config.ru.apk; config.my=config.my.apk; config.en=config.en.apk; config.de=config.de.apk; config.hi=config.hi.apk; config.fr=config.fr.apk; config.tr=config.tr.apk; config.ja=config.ja.apk; config.it=config.it.apk; config.pt=config.pt.apk; config.zh=config.zh.apk; config.xxxhdpi=config.xxxhdpi.apk; config.in=config.in.apk; config.ar=config.ar.apk; config.es=config.es.apk; config.th=config.th.apk; config.vi=config.vi.apk; config.ko=config.ko.apk,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.MattressPoint.xapk,xapk,18521388,0b626fe6aa311c508d14dcc60c4b993d0fd464328cf859dca451f45ad3c29861,ok,,,MattressPoint,com.okin.MattressPoint,1.0.1,3,21,33,5,base=com.okin.MattressPoint.apk; config.mdpi=config.mdpi.apk; config.fr=config.fr.apk; config.en=config.en.apk; config.arm64_v8a=config.arm64_v8a.apk,arm64-v8a,1,1,1,False
